"Ma","CO2"
0.5386,203.85
0.5398,198.5
0.5414,197.17
0.5424,194.62
0.5434,195.64
0.5448,195.03
0.5462,191
0.5474,192.1
0.5488,196.36
0.5506,189.91
0.5518,193.21
0.553,197.58
0.5542,197.9
0.5554,195.95
0.5562,204.61
0.5574,203.65
0.5588,208.14
0.5604,210.31
0.5618,212.06
0.5636,216.39
0.5651,221.36
0.5663,220.34
0.5677,224.12
0.5689,228.66
0.5697,228.9
0.5705,228.44
0.5716,229.38
0.5723,229.85
0.5731,233.79
0.5741,234.75
0.5751,242.59
0.576,249.13
0.577,244.46
0.578,241.85
0.5788,240.85
0.5795,233.31
0.5803,229.27
0.5811,228.45
0.5819,227.74
0.5828,226.45
0.5837,217.63
0.5847,214.05
0.5857,214.83
0.5866,217.74
0.5876,215.84
0.5889,225.17
0.5899,228.8
0.5907,229.03
0.5917,229.15
0.5928,233.68
0.5937,233.56
0.5945,232
0.5953,234.89
0.5959,231.17
0.596,229.75
0.596,227.27
0.5961,230.58
0.5969,230.22
0.5979,238.29
0.5989,228.1
0.5999,228.68
0.6014,223.33
0.6024,227.28
0.6034,215.85
0.6048,221.26
0.6064,223.45
0.6076,226.35
0.609,228.46
0.6102,227.05
0.611,230.35
0.612,230.82
0.6131,234.17
0.6139,233.21
0.6148,241.99
0.6158,252.61
0.6168,257.42
0.6176,250.43
0.6184,246.49
0.619,245.23
0.6199,230.23
0.6207,222.08
0.6214,217.2
0.6222,209.36
0.6232,206.02
0.6244,198.14
0.6254,187.48
0.6264,188.07
0.6272,184.37
0.6282,177.35
0.629,182.54
0.6298,182.06
0.6306,175.31
0.632,175.41
0.6332,173.58
0.6342,167.21
0.6354,171.67
0.637,175.41
0.638,174.95
0.639,176.98
0.6402,182.93
0.6414,180.84
0.6423,181.02
0.6435,187.48
0.6449,189.85
0.6461,185.64
0.6471,190.75
0.6486,190.05
0.65,188.77
0.6516,188.08
0.6534,193.46
0.655,190.05
0.6566,191.75
0.658,192.15
0.6588,192.86
0.6599,189.46
0.6613,194.26
0.6621,194.58
0.6634,191.96
0.6649,192.76
0.666,198.47
0.6668,195.09
0.6682,197.85
0.6691,204.02
0.67,204.87
0.671,205.94
0.6722,201.07
0.673,202.96
0.674,203.81
0.6748,204.66
0.6755,197.13
0.6764,209.06
0.6774,204.66
0.6783,201.07
0.6793,207.01
0.6805,211.24
0.6815,213.66
0.6823,219.26
0.6833,228.72
0.6843,223.96
0.685,233.25
0.6859,230.74
0.6869,237.49
0.6879,236.02
0.6891,242.28
0.6902,239.69
0.6914,243.9
0.6924,244.65
0.6936,244.4
0.6944,242.78
0.6956,243.9
0.6968,237.73
0.6982,234.34
0.6992,234.45
0.7008,233.26
0.702,226.28
0.703,230.75
0.7044,227.33
0.7058,218.03
0.7074,212.57
0.7092,210.38
0.7108,203.51
0.7122,194.09
0.7136,198.59
0.7144,198.49
0.7151,196.95
0.7165,193.08
0.7175,197.87
0.7191,193.08
0.7206,192.18
0.7221,194.5
0.7231,202.15
0.7245,201.62
0.7255,202.98
0.7268,208.23
0.7281,210.93
0.7295,206.71
0.7309,213.68
0.7321,216.02
0.7333,216.58
0.7344,214.57
0.7358,216.81
0.737,212.15
0.7384,211.7
0.7398,207.9
0.7414,208.76
0.7425,208.01
0.7435,207.15
0.7449,203.11
0.7459,204.37
0.7474,200.16
0.7488,199.13
0.7508,196.55
0.7522,194.01
0.7536,191.5
0.7546,194.21
0.7556,193.1
0.7562,190.9
0.7569,192.7
0.7579,191.8
0.7587,191.8
0.7595,195.54
0.7602,199.45
0.7612,204.59
0.762,207.8
0.763,207.37
0.764,205.45
0.7651,207.27
0.7661,205.87
0.7669,207.16
0.7676,209.1
0.7688,211.62
0.7702,214.27
0.7716,215.37
0.7732,219.2
0.775,225.62
0.7766,227.61
0.7778,231.98
0.7796,241.09
0.7812,242.46
0.7826,240.35
0.7842,233.42
0.7858,226.91
0.7866,220.57
0.7878,216.83
0.789,206.2
0.7898,207.5
0.7908,201.96
0.7924,195.55
0.7936,190.71
0.7947,193.22
0.7959,191.61
0.7971,193.01
0.7979,194.44
0.7987,194.64
0.8001,197.81
0.8014,197.91
0.8025,201.34
0.8037,199.88
0.8051,198.74
0.806,198.63
0.8068,204.61
0.808,210.21
0.8092,216.96
0.8102,221.72
0.8118,223.67
0.8134,219.89
0.8148,219.1
0.8164,216.62
0.8184,222.3
0.82,223.21
0.8216,225.18
0.8231,224.37
0.8247,226.69
0.8267,220.47
0.8283,222.07
0.8304,222.87
0.8325,222.87
0.8341,223.68
0.8357,228.93
0.8373,229.52
0.839,232.73
0.8404,239.52
0.842,241.38
0.8436,242.99
0.8452,244.74
0.8468,240.88
0.8486,236.48
0.8503,240.15
0.8519,237.94
0.8543,236.96
0.8561,249.55
0.8577,248.14
0.8596,237.7
0.8612,237.82
0.8623,229.66
0.8638,218.23
0.8654,212.87
0.8674,207.75
0.869,198.77
0.8706,196.19
0.8722,188.77
0.8742,186.81
0.8758,187.89
0.8777,195.39
0.8799,193.96
0.8815,195.69
0.8827,196.31
0.8841,198.88
0.8855,193.06
0.8867,197.44
0.8879,196.41
0.8891,200.65
0.8901,199.41
0.8911,200.44
0.8923,202.33
0.8935,204.65
0.8947,202.86
0.8957,209.06
0.8971,209.82
0.8983,209.16
0.8997,212.01
0.9012,214.21
0.9026,210.7
0.9038,211.78
0.905,214.44
0.906,213.22
0.9069,213.22
0.9079,217.35
0.909,220.97
0.9096,218.25
0.9104,218.92
0.911,215.22
0.9119,212.01
0.9127,204.56
0.9137,200.56
0.9145,198.58
0.9158,207.67
0.9171,205.62
0.9189,207.77
0.9205,214.9
0.9221,217.12
0.9239,210.27
0.9255,213.78
0.9265,216.12
0.928,217.25
0.9296,220.07
0.9308,222.13
0.9324,226.52
0.9338,229.7
0.9347,230.16
0.9361,231.24
0.9374,233.39
0.9383,234.95
0.9399,238.48
0.9415,242.8
0.9425,244.79
0.9433,246.05
0.9445,246.55
0.9453,246.94
0.9465,250.24
0.948,254.09
0.9496,255.14
0.9509,260.78
0.9523,266.55
0.9535,266.11
0.9544,256.32
0.9556,256.18
0.957,242.06
0.958,227.7
0.9592,215.69
0.9608,211.05
0.962,200.79
0.9632,202.99
0.9646,207.04
0.9658,208.12
0.9671,209.53
0.9685,215.47
0.9697,215.02
0.9711,217.94
0.9727,225.72
0.9738,228.53
0.9751,229.36
0.9767,228.3
0.9779,226.43
0.9789,222.49
0.9805,221.35
0.9818,218.96
0.9828,219.07
0.9844,223.19
0.9858,221.7
0.9868,220.55
0.9878,217.95
0.9892,221.36
0.99,218.4
0.9909,218.96
0.9923,225.62
0.9937,229.25
